Iteration,V-variation
1,4
2,3.24
3,2.6973
4,2.191374
5,1.828748
6,1.490905
7,1.247671
8,1.021229
9,0.857339
10,0.704896
11,0.593881
12,0.490725
13,0.415064
14,0.344842
15,0.292913
16,0.244781
17,0.208857
18,0.17561
19,0.15054
20,0.127376
21,0.109711
22,0.093419
23,0.080844
24,0.069269
25,0.060221
26,0.051908
27,0.045326
28,0.03929
29,0.034448
30,0.030018
31,0.026417
32,0.023128
33,0.020422
34,0.017956
35,0.015902
36,0.014034
37,0.012461
38,0.011032
39,0.009818
